date,source,medium,campaign,cost,impressions,clicks,users,revenue
1/19/2024,enterprisemarketingportal.google,(none),(direct),$58.06,3218,3031,731,$227.76
1/26/2024,enterprisemarketingportal.google,referral,chrome_launch_switch,$22.47,5295,4700,759,$753.48
1/21/2024,enterprisemarketingportal.google,referral,(organic),$11.26,7899,7467,831,$892.58
1/15/2024,brightedge--c.vf.force.com,referral,(referral),$69.46,2074,1086,431,$436.39
1/9/2024,chrome_launch_switch,paid,chrome_launch_switch,$30.47,8604,8184,730,$670.10
1/2/2024,brightedge--c.vf.force.com,referral,solution_data,$98.13,2490,2134,223,$911.48
1/12/2024,brightedge--c.vf.force.com,organic,(organic),$49.27,7327,7019,275,$237.00
1/22/2024,google,referral,solution_marketing,$40.18,5226,4969,426,$453.42
1/13/2024,yandex.ru,(none),(organic),$75.47,6422,5768,154,$404.54
1/11/2024,brightedge--c.vf.force.com,organic,chrome_launch_switch,$93.05,2221,1598,790,$539.50
1/3/2024,chrome_launch_switch,paid,(direct),$40.69,6127,5533,266,$399.01
1/27/2024,bing,referral,chrome_launch_switch,$18.56,3172,2204,245,$990.15
1/17/2024,yandex.ru,social,(organic),$85.71,5405,4791,794,$138.83
1/27/2024,google,paid,service_strategy,$26.05,1601,899,518,$440.72
1/11/2024,meta,(none),christmas_cmp,$37.35,5864,5730,509,$422.88
1/27/2024,meta,paid,(direct),$94.36,9285,9195,124,$109.65
1/5/2024,meta,organic,service_strategy,$11.94,5489,5374,818,$900.77
1/20/2024,brightedge--c.vf.force.com,social,(organic),$67.46,9665,9325,873,$616.76
1/24/2024,enterprisemarketingportal.google,social,solution_marketing,$66.85,6950,6670,347,$705.43
1/11/2024,app.amplemarket.com,(none),christmas_cmp,$97.13,7320,7083,703,$387.94
1/10/2024,chrome_launch_switch,social,(organic),$84.65,7767,7359,1000,$579.80
1/17/2024,yandex.ru,referral,christmas_cmp,$90.54,9192,8574,317,$506.31
1/19/2024,chrome_launch_switch,social,(referral),$38.58,2908,2247,314,$742.10
1/26/2024,linkedin.com,referral,service_strategy,$39.98,5560,5118,543,$849.62
1/19/2024,brightedge--c.vf.force.com,social,service_strategy,$39.66,3166,3068,172,$239.30
1/25/2024,momentum.com,referral,(referral),$78.36,4218,3785,344,$775.27
1/25/2024,bing,referral,service_strategy,$12.58,2408,1954,804,$580.18
1/19/2024,brightedge--c.vf.force.com,(none),(organic),$47.32,1724,1117,289,$334.52
1/29/2024,boards.greenhouse.io,organic,christmas_cmp,$56.63,7675,7431,864,$701.06
1/9/2024,gdmsugar.gartner.com,(none),christmas_cmp,$22.19,6920,6564,384,$208.28
1/8/2024,chrome_launch_switch,referral,chrome_launch_switch,$83.81,9724,8729,131,$776.08
1/11/2024,yandex.ru,paid,(organic),$18.90,7559,7290,835,$964.88
1/28/2024,yandex.ru,paid,(referral),$47.97,2838,2278,222,$227.26
1/7/2024,(direct),(none),(direct),$25.75,9956,9834,521,$482.09
1/29/2024,bing,(none),(referral),$29.23,2393,1426,345,$559.26
1/5/2024,momentum.com,(none),christmas_cmp,$62.82,9751,9722,558,$123.08
1/1/2024,enterprisemarketingportal.google,organic,chrome_launch_switch,$59.28,3833,3495,968,$864.83
1/9/2024,momentum.com,social,solution_data,$83.30,1609,871,976,$413.43
1/28/2024,momentum.com,organic,christmas_cmp,$88.53,8442,7735,494,$507.39
1/1/2024,momentum.com,(none),chrome_launch_switch,$48.22,4475,4347,114,$950.04
1/13/2024,yandex.ru,(none),(referral),$77.74,9295,8891,291,$837.32
1/2/2024,app.amplemarket.com,organic,christmas_cmp,$77.40,3452,3339,352,$111.39
1/8/2024,gdmsugar.gartner.com,(none),(direct),$77.07,5141,5053,820,$372.86
1/11/2024,linkedin.com,(none),service_strategy,$66.30,1858,1740,100,$492.40
1/19/2024,google,referral,chrome_launch_switch,$63.61,1839,859,550,$409.05
1/10/2024,google,paid,(referral),$51.57,8796,8603,518,$576.63
1/24/2024,app.amplemarket.com,referral,(organic),$84.78,4498,4191,174,$164.56
1/10/2024,momentum.com,organic,(direct),$43.98,4300,4138,133,$907.21
1/8/2024,brightedge--c.vf.force.com,(none),christmas_cmp,$81.93,8991,8246,396,$820.93
1/22/2024,linkedin.com,(none),solution_data,$29.70,2409,1785,916,$910.41
1/2/2024,chrome_launch_switch,organic,solution_data,$23.65,9212,8512,356,$775.70
1/25/2024,(direct),social,solution_marketing,$58.62,3070,2144,193,$357.36
1/22/2024,google,organic,christmas_cmp,$97.08,1448,1134,927,$333.76
1/17/2024,linkedin.com,organic,chrome_launch_switch,$55.37,2948,2720,535,$953.96
1/14/2024,(direct),social,christmas_cmp,$74.63,8030,7949,383,$958.64
1/28/2024,enterprisemarketingportal.google,paid,solution_marketing,$84.89,9463,8965,664,$535.24
1/25/2024,app.amplemarket.com,referral,(direct),$95.80,1021,998,417,$698.71
1/27/2024,(direct),organic,(direct),$76.26,6622,6516,433,$123.46
1/27/2024,chrome_launch_switch,social,solution_data,$11.18,1876,1154,966,$810.12
1/28/2024,app.amplemarket.com,(none),service_strategy,$75.14,8156,7999,297,$966.23
1/14/2024,enterprisemarketingportal.google,organic,(referral),$97.32,4085,3157,105,$902.03
1/18/2024,google,organic,service_strategy,$85.53,4959,4685,201,$290.13
1/10/2024,linkedin.com,social,(direct),$84.72,9241,8378,249,$539.69
1/24/2024,enterprisemarketingportal.google,referral,(direct),$60.60,2458,2276,871,$428.76
1/26/2024,yandex.ru,organic,chrome_launch_switch,$12.93,6046,5379,279,$289.56
1/17/2024,momentum.com,paid,solution_data,$82.97,7927,7216,243,$814.72
1/9/2024,boards.greenhouse.io,organic,solution_data,$84.44,4714,4433,172,$351.90
1/7/2024,chrome_launch_switch,referral,(referral),$38.11,4365,4164,964,$487.40
1/13/2024,gdmsugar.gartner.com,referral,solution_data,$54.35,6832,6050,638,$417.42
1/11/2024,brightedge--c.vf.force.com,(none),service_strategy,$67.63,5256,4370,201,$156.54
1/24/2024,yandex.ru,social,(direct),$74.18,4708,4230,853,$289.35
1/24/2024,(direct),(none),solution_marketing,$81.98,2828,2685,901,$539.27
1/15/2024,google,referral,(direct),$33.37,5841,5039,309,$223.20
1/5/2024,linkedin.com,social,(direct),$66.55,1377,1103,552,$362.36
1/19/2024,app.amplemarket.com,paid,(referral),$69.02,9522,9479,297,$193.15
1/23/2024,bing,social,(organic),$51.52,2542,1871,439,$165.77
